pignum,time_point,pig_weight,temp,pan_wt,wet_wt,Dry_wt_pan,Dry_weight,percent_drymatter,daily_shedding,treatment,total_shedding
295,14,30.72,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,25.586610056368258
326,14,28.62,NA,NA,NA,NA,NA,NA,5.52146091786225,Zn+Cu,29.70292946306314
422,14,26.46,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,30.255517558670107
432,14,23.4,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,27.334035067208312
450,14,22.46,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,22.086610056368258
472,14,25.26,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,30.46299311836981
22,14,20.58,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,30.140215041192185
43,14,23.58,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,26.619261976205028
65,14,22.9,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,28.865670097828108
119,14,24.54,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,22.086610056368258
138,14,21.48,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,22.086610056368258
175,14,22.64,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,27.69382002601612
198,14,19.76,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,41.867703876262084
397,14,28.46,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,31.834966167317578
453,14,27.9,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,27.392790030352142
469,14,22.74,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,26.098058181242102
6,14,22.52,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,34.670855491628146
144,14,20.8,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,19.786243798213693
228,14,21.12,NA,NA,NA,NA,NA,NA,4.60517018598809,Bglu,33.34130770116302
240,14,18.34,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,36.40024769795812
253,14,22.64,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,30.892790030352142
461,14,20.56,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,24.94639501517607
8,14,24.94,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,26.334035067208312
141,14,17.5,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,32.415144568263074
226,14,17.56,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,24.949337584686223
237,14,25.2,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,26.640215041192185
77,21,25.36,NA,NA,NA,NA,NA,NA,4.60517018598809,control,37.140215041192185
87,21,23.86,NA,NA,NA,NA,NA,NA,3.91202300542815,control,43.88072767279656
122,21,33.86,NA,NA,NA,NA,NA,NA,5.01063529409626,control,59.04973393943041
160,21,28.4,NA,NA,NA,NA,NA,NA,3.91202300542815,control,44.969631425385394
191,21,28.88,NA,NA,NA,NA,NA,NA,3.91202300542815,control,38.743423200754194
224,21,22.94,NA,NA,NA,NA,NA,NA,3.91202300542815,control,56.12655793074365
337,21,29.52,NA,NA,NA,NA,NA,NA,5.52146091786225,control,66.20657193070778
345,21,33.14,NA,NA,NA,NA,NA,NA,0,control,32.79702818557812
419,21,31,NA,NA,NA,NA,NA,NA,6.21460809842219,control,51.98984008782492
458,21,24.62,NA,NA,NA,NA,NA,NA,3.91202300542815,control,41.46695257709693
50,21,25.1,NA,NA,NA,NA,NA,NA,0,RPS,39.67801693934886
93,21,29.98,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,43.80102999566398
97,21,24.94,NA,NA,NA,NA,NA,NA,0,RPS,0
181,21,34.56,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,23.785580060704284
244,21,28.2,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,49.521825181113606
321,21,28.76,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,28.03300507154433
355,21,29.76,NA,NA,NA,NA,NA,NA,3.91202300542815,RPS,37.4794000867204
373,21,33.3,NA,NA,NA,NA,NA,NA,0,RPS,29.086610056368258
392,21,29.3,NA,NA,NA,NA,NA,NA,0,RPS,19.640215041192192
26,21,23.78,NA,NA,NA,NA,NA,NA,4.60517018598809,Acid,35.03300507154433
52,21,34.66,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,33.9794000867204
126,21,24.32,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,48.356596169294846
152,21,29.72,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,48.55017845530783
178,21,33.34,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,35.785580060704284
211,21,28.56,NA,NA,NA,NA,NA,NA,0,Acid,30.892790030352142
348,21,27.18,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,58.53921003821371
361,21,19.5,NA,NA,NA,NA,NA,NA,0,Acid,40.07710511625494
378,21,31.64,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,33.9794000867204
426,21,35.02,NA,NA,NA,NA,NA,NA,3.91202300542815,Acid,33.45154499349597
74,21,24.76,NA,NA,NA,NA,NA,NA,7.24422751560335,Zn+Cu,45.29280930736749
83,21,36.24,NA,NA,NA,NA,NA,NA,5.99146454710798,Zn+Cu,64.74016983089523
219,21,22.18,NA,NA,NA,NA,NA,NA,7.27931883541462,Zn+Cu,64.27066004039568
265,21,27.3,NA,NA,NA,NA,NA,NA,5.52146091786225,Zn+Cu,56.065656991381104
295,21,35.6,NA,NA,NA,NA,NA,NA,7.43838353004431,Zn+Cu,42.83957629636828
326,21,33.22,NA,NA,NA,NA,NA,NA,6.21460809842219,Zn+Cu,47.54211450859135
422,21,33.64,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,42.14830758902224
432,21,28.58,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,39.22682509756045
450,21,27.18,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,33.9794000867204
472,21,30.44,NA,NA,NA,NA,NA,NA,3.91202300542815,Zn+Cu,42.355783148721954
22,21,26.08,NA,NA,NA,NA,NA,NA,4.60517018598809,RCS,43.086610056368265
43,21,29.46,NA,NA,NA,NA,NA,NA,0,RCS,32.565656991381104
65,21,29.42,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,40.758460128180246
119,21,30.66,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,33.9794000867204
138,21,26.32,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,33.9794000867204
175,21,28.9,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,39.58661005636826
198,21,25.66,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,53.76049390661423
397,21,36.3,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,43.72775619766973
453,21,35.56,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,39.285580060704284
469,21,29.62,NA,NA,NA,NA,NA,NA,3.91202300542815,RCS,37.99084821159424
6,21,28.04,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,46.56364552198028
144,21,26.78,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,31.679033828565835
228,21,26.06,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,46.28770271633908
240,21,23.1,NA,NA,NA,NA,NA,NA,0,Bglu,42.34664271313419
253,21,28.8,NA,NA,NA,NA,NA,NA,3.91202300542815,Bglu,42.785580060704284
